stu_id,site_id,section_id,term_code,course_grade,mark,credit_attempted,creadit_completed,course_yr
67017094,67_67399_5136980,0062-53,1M,9,C,5,5,2027
67017094,67_67399_5136980,1726-01,1M,9,C-,5,5,2027
67017094,67_67399_5136980,6687-17,1S,10,B-,5,5,2027
67017094,67_67399_5136980,6215-58,1S,10,C-,5,5,2027
67017094,67_67399_5136980,7708-60,1S,10,D-,5,5,2027
67017094,67_67399_5136980,886139,1S,10,F,5,0,2027
67017094,67_67399_5136980,C910417-06,1S,10,F,5,0,2027
67017094,67_67399_5136980,3038-51,2S,9,B,5,5,2027
67017094,67_67399_5136980,4579-53,2S,9,B-,5,5,2027
67017094,67_67399_5136980,0062-53,2S,9,B+,5,5,2027
67017094,67_67399_5136980,7651-70,2S,9,C+,5,5,2027
67017094,67_67399_5136980,2151646,2S,9,D+,5,5,2027
67017094,67_67399_5136980,7383-51,2S,9,D+,5,5,2027
67017094,67_67399_5136980,C910416-51,2S,9,F,5,0,2027
67018074,67_67399_5136980,C751001-02,1S,9,A,5,5,2027
67018074,67_67399_5136980,C910417-02,1S,9,B,5,5,2027
67018074,67_67399_5136980,C910417-03,1S,9,A,5,5,2027
67018074,67_67399_5136980,1494665,1S,9,A,5,5,2027
67018074,67_67399_5136980,C713101-02,1S,9,C,5,5,2027
67018074,67_67399_5136980,3038-52,1S,9,F,5,0,2027
67018074,67_67399_5136980,C931602-03,1S,9,B,10,10,2027
67018074,67_67399_5136980,C925402-02,1S,9,F,5,0,2027
67018074,67_67399_5136980,64285,1S,9,A,5,5,2027
67018074,67_67399_5136980,C930301-02,1S,9,C,10,10,2027
67018074,67_67399_5136980,C910201-09,1S,9,B,5,5,2027
67018074,67_67399_5136980,9104016-22,2S,9,C,5,5,2027
67018074,67_67399_5136980,1710-17,2S,9,B,5,5,2027
67018074,67_67399_5136980,C910204-20,2S,9,B,5,5,2027
67018075,67_67399_5136980,644776,1S,9,A,10,10,2027
67018075,67_67399_5136980,005693-537,1S,9,B,5,5,2027
67018075,67_67399_5136980,1883-09,1S,9,B,5,5,2027
67018075,67_67399_5136980,C917203-50,1S,9,A,5,5,2027
67018075,67_67399_5136980,C934001-11,1S,9,C,5,5,2027
67018075,67_67399_5136980,3038-51,1S,9,C,5,5,2027
67018075,67_67399_5136980,5990-52,1S,9,A,10,10,2027
67018075,67_67399_5136980,9814-20,1S,9,B,5,5,2027
67018075,67_67399_5136980,2075-53,1S,9,A,5,5,2027
67018075,67_67399_5136980,0918-01,1S,9,C,10,10,2027
67018075,67_67399_5136980,1746804,1S,9,A,5,5,2027
67018075,67_67399_5136980,9104016-52,2S,9,C,5,5,2027
67018075,67_67399_5136980,C910415-50,2S,9,A,5,5,2027
67018075,67_67399_5136980,C917401-03,2S,9,B,5,5,2027
67018075,67_67399_5136980,1747230,2S,9,B,5,5,2027
67018076,67_67399_5136980,0915-67,1S,9,B,10,10,2027
67018076,67_67399_5136980,C910204-01,1S,9,B,5,5,2027
67018076,67_67399_5136980,2075-31,1S,9,C,5,5,2027
67018076,67_67399_5136980,C924502-03,1S,9,A,5,5,2027
67018076,67_67399_5136980,5819-20,1S,9,B,10,10,2027
67018076,67_67399_5136980,3068-50,1S,9,B,5,5,2027
67018076,67_67399_5136980,C934002-04,1S,9,B,5,5,2027
67018076,67_67399_5136980,2675859,1S,9,A,5,5,2027
67018076,67_67399_5136980,C910416-51,1S,9,A,5,5,2027
67018076,67_67399_5136980,9104016-22,1S,9,B,5,5,2027
67018076,67_67399_5136980,C820002-01,1S,9,A,5,5,2027
67018076,67_67399_5136980,7702-51,2S,9,B,5,5,2027
67018076,67_67399_5136980,C917202-50,2S,9,B,5,5,2027
67018076,67_67399_5136980,C910417-03,2S,9,C,5,5,2027
67018076,67_67399_5136980,1850-08,2S,9,B,5,5,2027
67018077,67_67399_5136980,1746773,1S,9,A,5,5,2027
67018077,67_67399_5136980,C913002-52,1S,9,C,5,5,2027
67018077,67_67399_5136980,2076-65,1S,9,A,5,5,2027
67018077,67_67399_5136980,596563,1S,9,B,5,5,2027
67018077,67_67399_5136980,7651-67,1S,9,A,10,10,2027
67018077,67_67399_5136980,1576082,1S,9,A,5,5,2027
67018077,67_67399_5136980,994251,1S,9,A,5,5,2027
67018077,67_67399_5136980,1710-17,1S,9,B,5,5,2027
67018077,67_67399_5136980,005693-436,1S,9,A,5,5,2027
67018077,67_67399_5136980,C910415-56,1S,9,C,5,5,2027
67018077,67_67399_5136980,101721,1S,9,A,10,10,2027
67018077,67_67399_5136980,8697-14,2S,9,B,5,5,2027
67018077,67_67399_5136980,C917305-20,2S,9,A,5,5,2027
67018077,67_67399_5136980,C920003-02,2S,9,B,10,10,2027
67018078,67_67399_5136980,2273302,1S,9,A,5,5,2027
67018078,67_67399_5136980,1746865,1S,9,C,5,5,2027
67018078,67_67399_5136980,0915-11,1S,9,B,10,10,2027
67018078,67_67399_5136980,64040,1S,9,A,5,5,2027
67018078,67_67399_5136980,2057-16,1S,9,A,5,5,2027
67018078,67_67399_5136980,7651-61,1S,9,B,10,10,2027
67018078,67_67399_5136980,C922003-02,1S,9,B,5,5,2027
67018078,67_67399_5136980,C923204-01,1S,9,A,5,5,2027
67018078,67_67399_5136980,24108,1S,9,B,5,5,2027
67018078,67_67399_5136980,725433,1S,9,A,5,5,2027
67018078,67_67399_5136980,5432-53,1S,9,A,5,5,2027
67018078,67_67399_5136980,1280-51,2S,9,A,5,5,2027
67018078,67_67399_5136980,C922711-02,2S,9,C,10,10,2027
67018078,67_67399_5136980,2151950,2S,9,B,5,5,2027
67018079,67_67399_5136980,1592856,1S,9,B,5,5,2027
67018079,67_67399_5136980,C908001-01,1S,9,A,5,5,2027
67018079,67_67399_5136980,0061-54,1S,9,A,5,5,2027
67018079,67_67399_5136980,C925401-08,1S,9,A,5,5,2027
67018079,67_67399_5136980,C931601-02,1S,9,A,10,10,2027
