stu_id,section_id,site_id,start_date,leave_date,schoolyr
67013019,0495-01,67_67399_5136978,8/11/26,,2026-2027
67013019,0495-02,67_67399_5136978,8/11/26,,2026-2027
67012968,6 BC-SI-18,67_67399_5136971,8/11/26,,2026-2027
67012968,6 BC-SI-19,67_67399_5136971,8/11/26,,2026-2027
67013004,0495-01,67_67399_5136978,8/11/26,,2026-2027
67013004,0495-02,67_67399_5136978,8/11/26,,2026-2027
67012841,4 BC-SI-16,67_67399_5136971,8/11/26,,2026-2027
67012841,4 BC-SI-22,67_67399_5136971,8/11/26,,2026-2027
67013056,1202746,67_67399_5136978,8/11/26,,2026-2027
67013056,1202777,67_67399_5136978,8/11/26,,2026-2027
67013095,1202746,67_67399_5136978,8/11/26,,2026-2027
67013095,1202777,67_67399_5136978,8/11/26,,2026-2027
67013087,1202746,67_67399_5136978,8/11/26,,2026-2027
67013087,1202777,67_67399_5136978,8/11/26,,2026-2027
67013036,0495-01,67_67399_5136978,8/11/26,,2026-2027
67013036,0495-02,67_67399_5136978,8/11/26,,2026-2027
67012743,2 BC-SI-06,67_67399_5136971,8/11/26,,2026-2027
67012743,2 BC-SI-07,67_67399_5136971,8/11/26,,2026-2027
67012768,3 BC-SI-5,67_67399_5136971,8/11/26,,2026-2027
67012768,3 BC-SI-8,67_67399_5136971,8/11/26,,2026-2027
67012964,6 BC-SI-18,67_67399_5136971,8/11/26,,2026-2027
67012964,6 BC-SI-19,67_67399_5136971,8/11/26,,2026-2027
67012756,3 BC-SI-5,67_67399_5136971,8/11/26,,2026-2027
67012756,3 BC-SI-8,67_67399_5136971,8/11/26,,2026-2027
67013119,1202746,67_67399_5136978,8/11/26,,2026-2027
67013119,1202777,67_67399_5136978,8/11/26,,2026-2027
67013085,1202746,67_67399_5136978,8/11/26,,2026-2027
67013085,1202777,67_67399_5136978,8/11/26,,2026-2027
67012684,1 BC-SI-03,67_67399_5136971,8/11/26,,2026-2027
67012684,1 BC-SI-04,67_67399_5136971,8/11/26,,2026-2027
67012857,4 BC-SI-16,67_67399_5136971,8/11/26,,2026-2027
67012857,4 BC-SI-22,67_67399_5136971,8/11/26,,2026-2027
67013105,1202746,67_67399_5136978,8/11/26,,2026-2027
67013105,1202777,67_67399_5136978,8/11/26,,2026-2027
67012859,5-BC-SI-17,67_67399_5136971,8/11/26,,2026-2027
67012859,5BC-SI-20,67_67399_5136971,8/11/26,,2026-2027
67012981,6 BC-SI-18,67_67399_5136971,8/11/26,,2026-2027
67012981,6 BC-SI-19,67_67399_5136971,8/11/26,,2026-2027
67013014,0495-01,67_67399_5136978,8/11/26,,2026-2027
67013014,0495-02,67_67399_5136978,8/11/26,,2026-2027
67012907,5-BC-SI-17,67_67399_5136971,8/11/26,,2026-2027
67012907,5BC-SI-20,67_67399_5136971,8/11/26,,2026-2027
67012746,2 BC-SI-06,67_67399_5136971,8/11/26,,2026-2027
67012746,2 BC-SI-07,67_67399_5136971,8/11/26,,2026-2027
67012703,2 BC-SI-06,67_67399_5136971,8/11/26,,2026-2027
67012703,2 BC-SI-07,67_67399_5136971,8/11/26,,2026-2027
67012710,2 BC-SI-06,67_67399_5136971,8/11/26,,2026-2027
67012710,2 BC-SI-07,67_67399_5136971,8/11/26,,2026-2027
67012764,3 BC-SI-5,67_67399_5136971,8/11/26,,2026-2027
67012764,3 BC-SI-8,67_67399_5136971,8/11/26,,2026-2027
67012985,0495-01,67_67399_5136978,8/11/26,,2026-2027
67012985,0495-02,67_67399_5136978,8/11/26,,2026-2027
67013089,1202746,67_67399_5136978,8/11/26,,2026-2027
67013089,1202777,67_67399_5136978,8/11/26,,2026-2027
67012858,4 BC-SI-16,67_67399_5136971,8/11/26,,2026-2027
67012858,4 BC-SI-22,67_67399_5136971,8/11/26,,2026-2027
67013080,1202746,67_67399_5136978,8/11/26,,2026-2027
67013080,1202777,67_67399_5136978,8/11/26,,2026-2027
67013023,0495-01,67_67399_5136978,8/11/26,,2026-2027
67013023,0495-02,67_67399_5136978,8/11/26,,2026-2027
67012698,2 BC-SI-06,67_67399_5136971,8/11/26,,2026-2027
67012698,2 BC-SI-07,67_67399_5136971,8/11/26,,2026-2027
67012711,2 BC-SI-06,67_67399_5136971,8/11/26,,2026-2027
67012711,2 BC-SI-07,67_67399_5136971,8/11/26,,2026-2027
67013120,1202746,67_67399_5136978,8/11/26,,2026-2027
67013120,1202777,67_67399_5136978,8/11/26,,2026-2027
