stu_id,section_id,site_id,start_date,leave_date,schoolyr
67012774,1-3 DL-SAI-52,67_67399_5136973,8/12/24,3/7/25,2024-2025
67012792,1MS-SI-16,67_67399_5136976,8/12/24,8/21/24,2024-2025
67012820,2 CC-SI-30,67_67399_5136972,8/12/24,,2024-2025
67012818,2MS-SI-15,67_67399_5136976,8/12/24,1/6/25,2024-2025
67012910,4MS-SI-05,67_67399_5136976,8/12/24,1/31/25,2024-2025
67012982,4MS-SI-05,67_67399_5136976,8/12/24,8/23/24,2024-2025
67013021,5 CC-SI-12,67_67399_5136972,8/12/24,2/24/25,2024-2025
67013108,6MS-SI-10,67_67399_5136976,8/12/24,8/21/24,2024-2025
67012723,T-K-MS-SAI,67_67399_5136976,8/12/24,,2024-2025
67012723,TK-1 KG-SAI,67_67399_5136975,8/12/24,,2024-2025
67012720,TK-2 CC-SAI-02,67_67399_5136972,8/12/24,8/26/24,2024-2025
67012748,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012750,1 BC-SI-03,67_67399_5136971,8/12/24,10/4/24,2024-2025
67012751,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012752,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012753,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012754,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012757,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012759,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012760,1 BC-SI-03,67_67399_5136971,8/12/24,6/5/25,2024-2025
67012763,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012764,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012767,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012768,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012771,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012772,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012773,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012776,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012786,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012788,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012790,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012791,1 BC-SI-03,67_67399_5136971,8/12/24,10/16/24,2024-2025
67012792,1 BC-SI-03,67_67399_5136971,8/12/24,6/5/25,2024-2025
67012793,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012797,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012800,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012804,1 BC-SI-03,67_67399_5136971,8/12/24,,2024-2025
67012749,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012755,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012756,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012758,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012762,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012765,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012766,1 BC-SI-04,67_67399_5136971,8/12/24,6/5/25,2024-2025
67012770,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012777,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012778,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012779,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012780,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012781,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012782,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012784,1 BC-SI-04,67_67399_5136971,8/12/24,11/22/24,2024-2025
67012785,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012787,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012789,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012794,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012795,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012796,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012798,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012802,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012803,1 BC-SI-04,67_67399_5136971,8/12/24,,2024-2025
67012745,1-3 BC SAI,67_67399_5136971,8/12/24,6/5/25,2024-2025
67012761,1-3 BC SAI,67_67399_5136971,8/12/24,,2024-2025
67012769,1-3 BC SAI,67_67399_5136971,8/12/24,,2024-2025
67012774,1-3 BC SAI,67_67399_5136971,8/12/24,,2024-2025
67012775,1-3 BC SAI,67_67399_5136971,8/12/24,,2024-2025
67012783,1-3 BC SAI,67_67399_5136971,8/12/24,,2024-2025
67012799,1-3 BC SAI,67_67399_5136971,8/12/24,,2024-2025
