stu_id,site_id,incident_id,incident_date,schoolyr,incident_time,suspension_days,minor_incident,major_incident
67012757,67_67399_5136971,127377,2/26/25,2024-2025,10:00 AM,0,1,0
67012933,67_67399_5136971,126367,12/2/24,2024-2025,8:00 AM,0,0,1
67012936,67_67399_5136971,126240,11/15/24,2024-2025,2:00 PM,0,1,0
67012956,67_67399_5136971,125916,10/23/24,2024-2025,12:00 PM,0,1,0
67012956,67_67399_5136971,127665,3/14/25,2024-2025,1:30 PM,0,2,0
67012961,67_67399_5136971,126243,11/15/24,2024-2025,2:00 PM,0,0,1
67012961,67_67399_5136971,126386,12/2/24,2024-2025,3:23 PM,0,1,0
67012961,67_67399_5136971,126398,12/3/24,2024-2025,11:40 AM,0,1,0
67012968,67_67399_5136971,126346,11/21/24,2024-2025,2:22 PM,0,2,0
67012976,67_67399_5136971,127909,4/1/25,2024-2025,8:20 AM,0,0,0
67013035,67_67399_5136971,125933,10/17/24,2024-2025,12:00 PM,0,0,1
67013035,67_67399_5136971,127864,3/24/25,2024-2025,3:00 PM,0,1,0
67013038,67_67399_5136971,126618,1/8/25,2024-2025,11:30 AM,0,1,0
67013067,67_67399_5136971,126755,1/17/25,2024-2025,10:17 AM,0,1,0
67013067,67_67399_5136971,128114,4/11/25,2024-2025,3:20 PM,2,0,0
67013067,67_67399_5136971,128662,5/29/25,2024-2025,2:07 PM,0,1,0
67013083,67_67399_5136971,126130,11/7/24,2024-2025,11:11 AM,0,0,1
67013089,67_67399_5136971,128112,4/11/25,2024-2025,3:20 PM,1,0,0
67013092,67_67399_5136971,127866,3/26/25,2024-2025,1:35 PM,1,0,0
67013092,67_67399_5136971,128138,4/14/25,2024-2025,3:37 PM,0,1,0
67013092,67_67399_5136971,128315,5/5/25,2024-2025,3:04 PM,0,1,1
67013264,67_67399_5136972,126327,11/21/24,2024-2025,12:48 PM,0,1,0
67013264,67_67399_5136972,126365,11/22/24,2024-2025,10:20 AM,0,1,0
67013264,67_67399_5136972,126548,12/16/24,2024-2025,1:35 PM,0,1,0
67013264,67_67399_5136972,128153,4/15/25,2024-2025,10:30 AM,0,1,0
67013265,67_67399_5136972,128525,5/16/25,2024-2025,3:19 PM,0,0,1
67013272,67_67399_5136972,125988,10/29/24,2024-2025,1:11 PM,0,1,0
67013272,67_67399_5136972,126681,1/14/25,2024-2025,11:46 AM,0,1,0
67013272,67_67399_5136972,127635,3/13/25,2024-2025,5:55 PM,0,0,1
67013272,67_67399_5136972,127615,3/13/25,2024-2025,8:28 AM,0,0,1
67013277,67_67399_5136972,127605,3/12/25,2024-2025,11:35 AM,0,1,0
67013277,67_67399_5136972,127621,3/13/25,2024-2025,12:32 PM,0,1,0
67013277,67_67399_5136972,127805,3/24/25,2024-2025,9:42 AM,0,1,0
67013277,67_67399_5136972,127954,4/3/25,2024-2025,8:50 AM,0,0,1
67013277,67_67399_5136972,128025,4/8/25,2024-2025,10:25 AM,0,1,0
67013277,67_67399_5136972,128044,4/9/25,2024-2025,11:52 AM,0,1,0
67013277,67_67399_5136972,128095,4/11/25,2024-2025,9:28 AM,0,0,1
67013277,67_67399_5136972,128141,4/14/25,2024-2025,1:30 PM,0,0,1
67013277,67_67399_5136972,128175,4/16/25,2024-2025,2:39 PM,0,0,1
67013277,67_67399_5136972,128242,4/17/25,2024-2025,1:15 PM,0,1,0
67013277,67_67399_5136972,128243,4/29/25,2024-2025,11:40 AM,0,0,1
67013277,67_67399_5136972,128314,5/5/25,2024-2025,1:27 PM,1,0,0
67013287,67_67399_5136972,128337,5/6/25,2024-2025,9:55 AM,0,0,0
67013310,67_67399_5136972,127033,2/4/25,2024-2025,1:43 PM,0,1,0
67013318,67_67399_5136972,126704,1/15/25,2024-2025,10:52 AM,0,0,1
67013318,67_67399_5136972,127032,2/4/25,2024-2025,1:37 PM,0,1,0
67013318,67_67399_5136972,127235,2/14/25,2024-2025,3:01 PM,0,1,0
67013318,67_67399_5136972,127342,2/24/25,2024-2025,3:20 PM,0,0,1
67013329,67_67399_5136972,127705,3/18/25,2024-2025,2:03 PM,0,1,0
67013329,67_67399_5136972,128336,5/6/25,2024-2025,9:55 AM,0,0,0
