stu_id,site_id,incident_id,incident_date,schoolyr,incident_time,suspension_days,minor_incident,major_incident
67012757,67_67399_5136971,137377,2/26/26,2025-2026,10:00 AM,0,1,0
67012936,67_67399_5136971,136240,11/15/25,2025-2026,2:00 PM,0,1,0
67012956,67_67399_5136971,135916,10/23/25,2025-2026,12:00 PM,0,1,0
67012956,67_67399_5136971,137665,3/14/26,2025-2026,1:30 PM,0,2,0
67012961,67_67399_5136971,136243,11/15/25,2025-2026,2:00 PM,0,0,1
67012961,67_67399_5136971,136386,12/2/25,2025-2026,3:23 PM,0,1,0
67012961,67_67399_5136971,136398,12/3/25,2025-2026,11:40 AM,0,1,0
67012968,67_67399_5136971,136346,11/21/25,2025-2026,2:22 PM,0,2,0
67012976,67_67399_5136971,137909,4/1/26,2025-2026,8:20 AM,0,0,0
67013035,67_67399_5136971,135933,10/17/25,2025-2026,12:00 PM,0,0,1
67013035,67_67399_5136971,137864,3/24/26,2025-2026,3:00 PM,0,1,0
67013038,67_67399_5136971,136618,1/8/26,2025-2026,11:30 AM,0,1,0
67013067,67_67399_5136978,136755,1/17/26,2025-2026,10:17 AM,0,1,0
67013067,67_67399_5136978,138114,4/11/26,2025-2026,3:20 PM,2,0,0
67013067,67_67399_5136978,138662,5/29/26,2025-2026,2:07 PM,0,1,0
67013083,67_67399_5136978,136130,11/7/25,2025-2026,11:11 AM,0,0,1
67013089,67_67399_5136978,138112,4/11/26,2025-2026,3:20 PM,1,0,0
67013092,67_67399_5136978,137866,3/26/26,2025-2026,1:35 PM,1,0,0
67013092,67_67399_5136978,138138,4/14/26,2025-2026,3:37 PM,0,1,0
67013092,67_67399_5136978,138315,5/5/26,2025-2026,3:04 PM,0,1,1
67013264,67_67399_5136972,136327,11/21/25,2025-2026,12:48 PM,0,1,0
67013264,67_67399_5136972,136365,11/22/25,2025-2026,10:20 AM,0,1,0
67013264,67_67399_5136972,136548,12/16/25,2025-2026,1:35 PM,0,1,0
67013264,67_67399_5136972,138153,4/15/26,2025-2026,10:30 AM,0,1,0
67013265,67_67399_5136972,138525,5/16/26,2025-2026,3:19 PM,0,0,1
67013272,67_67399_5136972,135988,10/29/25,2025-2026,1:11 PM,0,1,0
67013272,67_67399_5136972,136681,1/14/26,2025-2026,11:46 AM,0,1,0
67013272,67_67399_5136972,137635,3/13/26,2025-2026,5:55 PM,0,0,1
67013272,67_67399_5136972,137615,3/13/26,2025-2026,8:28 AM,0,0,1
67013277,67_67399_5136972,137605,3/12/26,2025-2026,11:35 AM,0,1,0
67013277,67_67399_5136972,137621,3/13/26,2025-2026,12:32 PM,0,1,0
67013277,67_67399_5136972,137805,3/24/26,2025-2026,9:42 AM,0,1,0
67013277,67_67399_5136972,137954,4/3/26,2025-2026,8:50 AM,0,0,1
67013277,67_67399_5136972,138025,4/8/26,2025-2026,10:25 AM,0,1,0
67013277,67_67399_5136972,138044,4/9/26,2025-2026,11:52 AM,0,1,0
