stu_id,site_id,section_id,term_code,course_grade,mark,credit_attempted,creadit_completed,course_yr
67017307,67_67399_5136980,446175,1S,9,C,5,5,2026
67017307,67_67399_5136980,446175,2S,9,B,5,5,2026
67017307,67_67399_5136980,1409716,1S,9,A,10,10,2026
67017307,67_67399_5136980,1409716,2S,9,A,10,10,2026
67017307,67_67399_5136980,1790-17,1S,9,C,5,5,2026
67017307,67_67399_5136980,1790-17,2S,9,B,5,5,2026
67017307,67_67399_5136980,1768930,1S,9,B,5,5,2026
67017307,67_67399_5136980,1768930,2S,9,B,5,5,2026
67017307,67_67399_5136980,2380319,1S,9,B,10,10,2026
67017307,67_67399_5136980,2380319,2S,9,C,10,10,2026
67017307,67_67399_5136980,C717201-02,1S,9,C,5,5,2026
67017307,67_67399_5136980,C717201-02,2S,9,A,5,5,2026
67017188,67_67399_5136980,1286-04,1S,9,B,5,5,2026
67017188,67_67399_5136980,1286-04,2S,9,B,5,5,2026
67017188,67_67399_5136980,5819-24,1S,9,C,10,10,2026
67017188,67_67399_5136980,5819-24,2S,9,A,10,10,2026
67017188,67_67399_5136980,5819-15,1S,9,A,10,10,2026
67017188,67_67399_5136980,5819-15,2S,9,B,10,10,2026
67017188,67_67399_5136980,1746804,1S,9,D,5,5,2026
67017188,67_67399_5136980,1746804,2S,9,C,5,5,2026
67017188,67_67399_5136980,C922711-01,1S,9,B,10,10,2026
67017188,67_67399_5136980,C922711-01,2S,9,B,10,10,2026
67017206,67_67399_5136980,2057-13,1S,9,A,5,5,2026
67017206,67_67399_5136980,2057-13,2S,9,C,5,5,2026
67017206,67_67399_5136980,C700001-54,1S,9,C,5,5,2026
67017206,67_67399_5136980,C700001-54,2S,9,B,5,5,2026
67017206,67_67399_5136980,3123-13,1S,9,A,5,5,2026
67017206,67_67399_5136980,3123-13,2S,9,A,5,5,2026
67017206,67_67399_5136980,1717372,1S,9,D,5,5,2026
67017206,67_67399_5136980,1717372,2S,9,C,5,5,2026
67017206,67_67399_5136980,C917304-14,1S,9,A,5,5,2026
67017206,67_67399_5136980,C917304-14,2S,9,A,5,5,2026
67017206,67_67399_5136980,623106,1S,9,A,5,5,2026
67017206,67_67399_5136980,623106,2S,9,A,5,5,2026
67017114,67_67399_5136980,2272572,1S,9,B,5,5,2026
67017114,67_67399_5136980,2272572,2S,9,D,5,5,2026
67017114,67_67399_5136980,2101667,1S,9,A,5,5,2026
67017114,67_67399_5136980,2101667,2S,9,B,5,5,2026
67017114,67_67399_5136980,C922703-02,1S,9,B,10,10,2026
67017114,67_67399_5136980,C922703-02,2S,9,A,10,10,2026
67017114,67_67399_5136980,8697-16,1S,9,B,5,5,2026
67017114,67_67399_5136980,8697-16,2S,9,A,5,5,2026
67017114,67_67399_5136980,C917305-23,1S,9,A,5,5,2026
67017114,67_67399_5136980,C917305-23,2S,9,B,5,5,2026
67017261,67_67399_5136980,1494574,1S,9,B,5,5,2026
67017261,67_67399_5136980,1494574,2S,9,A,5,5,2026
67017261,67_67399_5136980,117610,1S,9,A,5,5,2026
67017261,67_67399_5136980,117610,2S,9,B,5,5,2026
67017261,67_67399_5136980,730153,1S,9,B,5,5,2026
67017261,67_67399_5136980,730153,2S,9,A,5,5,2026
67017261,67_67399_5136980,729482,1S,9,B,5,5,2026
67017261,67_67399_5136980,729482,2S,9,C,5,5,2026
67017261,67_67399_5136980,C922001-52,1S,9,A,5,5,2026
67017261,67_67399_5136980,C922001-52,2S,9,C,5,5,2026
67017261,67_67399_5136980,2097649,1S,9,B,10,10,2026
67017261,67_67399_5136980,2097649,2S,9,A,10,10,2026
67017149,67_67399_5136980,655703,1S,9,A,10,10,2026
67017149,67_67399_5136980,655703,2S,9,A,10,10,2026
67017149,67_67399_5136980,C922806-01,1S,9,C,5,5,2026
67017149,67_67399_5136980,C922806-01,2S,9,C,5,5,2026
67017149,67_67399_5136980,1747261,1S,9,A,5,5,2026
67017149,67_67399_5136980,1747261,2S,9,B,5,5,2026
67017149,67_67399_5136980,1710-11,1S,9,A,5,5,2026
67017149,67_67399_5136980,1710-11,2S,9,B,5,5,2026
67017149,67_67399_5136980,2275522,1S,9,A,10,10,2026
67017149,67_67399_5136980,2275522,2S,9,B,10,10,2026
67017352,67_67399_5136980,C910400605,1S,9,B,5,5,2026
67017352,67_67399_5136980,C910400605,2S,9,A,5,5,2026
67017352,67_67399_5136980,2076-59,1S,9,B,5,5,2026
67017352,67_67399_5136980,2076-59,2S,9,A,5,5,2026
67017352,67_67399_5136980,C917304-11,1S,9,B,5,5,2026
67017352,67_67399_5136980,C917304-11,2S,9,A,5,5,2026
67017352,67_67399_5136980,7702-54,1S,9,A,5,5,2026
67017352,67_67399_5136980,7702-54,2S,9,B,5,5,2026
67017352,67_67399_5136980,2350062,1S,9,A,10,10,2026
67017352,67_67399_5136980,2350062,2S,9,B,10,10,2026
67017352,67_67399_5136980,7702-61,1S,9,B,5,5,2026
67017352,67_67399_5136980,7702-61,2S,9,B,5,5,2026
67017166,67_67399_5136980,C9104006-04,1S,9,B,5,5,2026
67017166,67_67399_5136980,C9104006-04,2S,9,C,5,5,2026
67017166,67_67399_5136980,0915-64,1S,9,A,10,10,2026
67017166,67_67399_5136980,0915-64,2S,9,A,10,10,2026
67017166,67_67399_5136980,1883-02,1S,9,A,5,5,2026
67017166,67_67399_5136980,1883-02,2S,9,B,5,5,2026
67017166,67_67399_5136980,5980-50,1S,9,C,10,10,2026
67017166,67_67399_5136980,5980-50,2S,9,A,10,10,2026
67017166,67_67399_5136980,9815-20,1S,9,A,5,5,2026
67017166,67_67399_5136980,9815-20,2S,9,A,5,5,2026
67017166,67_67399_5136980,6215-60,1S,9,B,5,5,2026
67017166,67_67399_5136980,6215-60,2S,9,A,5,5,2026
67017391,67_67399_5136980,1691471,1S,9,C,5,5,2026
67017391,67_67399_5136980,1691471,2S,9,B,5,5,2026
67017391,67_67399_5136980,1790-19,1S,9,B,5,5,2026
67017391,67_67399_5136980,1790-19,2S,9,A,5,5,2026
67017391,67_67399_5136980,5819-34,1S,9,A,10,10,2026
67017391,67_67399_5136980,5819-34,2S,9,C,10,10,2026
67017391,67_67399_5136980,0061-54,1S,9,A,5,5,2026
67017391,67_67399_5136980,0061-54,2S,9,C,5,5,2026
67017391,67_67399_5136980,447027,1S,9,B,5,5,2026
67017391,67_67399_5136980,447027,2S,9,A,5,5,2026
67017391,67_67399_5136980,730153,1S,9,C,5,5,2026
67017391,67_67399_5136980,730153,2S,9,B,5,5,2026
67017287,67_67399_5136980,C751002-01,1S,9,B,5,5,2026
67017287,67_67399_5136980,C751002-01,2S,9,A,5,5,2026
67017287,67_67399_5136980,2099447,1S,9,C,5,5,2026
67017287,67_67399_5136980,2099447,2S,9,B,5,5,2026
67017287,67_67399_5136980,994251,1S,9,C,5,5,2026
67017287,67_67399_5136980,994251,2S,9,A,5,5,2026
67017287,67_67399_5136980,C910502-03,1S,9,A,5,5,2026
67017287,67_67399_5136980,C910502-03,2S,9,C,5,5,2026
67017287,67_67399_5136980,1254-19,1S,9,B,5,5,2026
67017287,67_67399_5136980,1254-19,2S,9,A,5,5,2026
67017287,67_67399_5136980,9814-13,1S,9,A,5,5,2026
67017287,67_67399_5136980,9814-13,2S,9,B,5,5,2026
67017180,67_67399_5136980,C910429-50,1S,9,C,5,5,2026
67017180,67_67399_5136980,C910429-50,2S,9,B,5,5,2026
67017180,67_67399_5136980,C910201-05,1S,9,B,5,5,2026
67017180,67_67399_5136980,C910201-05,2S,9,A,5,5,2026
